Type,company,Matching,dealCreateDate,meetingDate
Target,INSCOPE IT PTY LTD,INSCOPE IT PTY LTD,30/06/2025,11/12/2025
Target,DIGITAL CORE 9 PTY LTD,DIGITAL CORE 9 PTY LTD,1/07/2025,16/07/2025
Target,Aliva Pty Ltd,Aliva Pty Ltd,19/08/2025,14/11/2025
Target,DXC Technology,DXC TECHNOLOGY AUSTRALIA PTY LIMITED,19/08/2025,28/08/2025
Target,NOVO3 PTY LTD,NOVO3 PTY LTD,19/08/2025,10/11/2025
Target,Ethan Group Pty Ltd,Ethan Global Pty Ltd,1/12/2025,5/02/2026
Target,Security Centric Pty Ltd,Security Centric Pty Ltd,19/08/2025,8/09/2025
Target,Vocus,Vocus Pty Ltd,19/08/2025,3/09/2025
Target,ARXIS GROUP PTY LTD,ARXIS GROUP PTY LTD,19/08/2025,5/09/2025
Target,IPGLASS Pty Ltd,IP GLASS PTY LTD,19/08/2025,11/02/2026
Target,Stott & Hoare,Stott & Hoare,30/06/2025,11/07/2025
Target,ALL-TASKS COMPUTER SERVICES PTY LTD,ALL-TASKS COMPUTER SERVICES PTY LTD,30/06/2025,14/10/2025
Target,The Missing Link Network Integration Pty Ltd,The Missing Link Network Integration Pty Ltd,19/08/2025,1/09/2025
Target,Logic Stream Pty Ltd,LOGIC STREAM PTY LTD,1/12/2025,6/03/2026
Target,RESOLUTION TECHNOLOGY PTY LTD,Resolution Technology Pty Ltd,19/08/2025,29/08/2025
Target,Efficient Chips,Efficient Chips,30/06/2025,1/10/2025
Target,Communications Design Management Pty Ltd,Communications Design & Management Pty Ltd,19/08/2025,2/09/2025
Target,Xcy Pty Ltd,Xcy Pty Ltd,30/06/2025,2/09/2025
Target,ENERDS PTY LTD,eNerds Pty Ltd,30/06/2025,25/07/2025
Target,Bendigo Telco Ltd,Bendigo Telco Ltd,30/06/2025,5/08/2025
Target,Quorum Systems Pty Ltd,Quorum Systems Pty Ltd,30/06/2025,11/02/2026
Target,Honeylight Consulting Pty Ltd,Honeylight Consulting Pty Ltd,30/06/2025,25/08/2025
Target,Laminar Communications Pty Ptd,Laminar Communications Pty Ltd,19/08/2025,3/11/2025
Target,NEC IT Services Australia Pty Ltd,NEC IT Services Australia Pty Ltd,19/08/2025,17/02/2026
Target,Touchpoint Technology Pty Ltd,Touchpoint Technology Pty Ltd,30/06/2025,7/08/2025
Target,A23 PTY. LTD.,A23 PTY. LTD.,19/08/2025,16/10/2025
Target,Market Creations,Market Creations Pty Ltd,1/12/2025,2/03/2026
Target,Seccom Global Pty Ltd,Seccom Global Pty Ltd,19/08/2025,7/11/2025
Target,Stardata Pty Ltd,Stardata Pty Ltd,19/08/2025,13/10/2025
Target,CLARITY ICT PTY LTD,CLARITY ICT PTY LTD,19/08/2025,8/10/2025
Target,Canon Business Services Australia,CANON Business Services Australia,1/12/2025,2/03/2026
Target,Onel Consulting Pty Ltd,Onel Consulting Pty Ltd,19/08/2025,3/10/2025
Target,Blue Connections Pty Ltd,Blue Connections Pty Ltd,19/08/2025,3/11/2025
Target,Nexon,Nexon Asia Pacific Pty. Ltd.,14/07/2025,16/02/2026
