Invoice No,Country Code,Sales ($),Margin ($),Margin (%),Vendor,Customer,Partner,End User,Invoice Date,Type,oSpace Program Name,ProgramID
320479-01,AU,2874.6654,219.5745,0.076382629,"Crowdstrike, Inc.",Advance Vision Technology Pty Ltd,Advance Vision Technology Pty Ltd,PATRIOT ENVIRONMENTAL MANAGEMENT,17/02/2023,Target,,
320612-01,AU,371.48,45.18,0.121621622,SolarWinds Europe,Aquion Pty Ltd,Aquion Pty Ltd,Esso Australia Pty Ltd,17/02/2023,Control,,
320492-01,AU,0,-4782.31,-Infinity,Gigamon,Datacom Systems (AU) Pty Ltd,Datacom Systems (AU) Pty Ltd,Department of Defence,17/02/2023,Control,,
320560-02,AU,339.6641,17.5085,0.051546513,"Amazon Web Services, Inc.",Fyshh Pty Ltd,Fyshh Pty Ltd,,17/02/2023,Others,,
320478-01,AU,17663.2044,883.1492,0.049999376,"Crowdstrike, Inc.",Over the Wire Pty Ltd,Over the Wire Pty Ltd,PACIFIC INTERNATIONAL LINES AUSTRALIA,17/02/2023,Control,,
320613-01,AU,6445.9881,644.5989,0.100000014,Imperva,The Missing Link Security Pty Ltd,The Missing Link Security Pty Ltd,Mid Western Regional Council,17/02/2023,Control,,
320557-01,AU,25663.932,2566.443,0.10000194,"Crowdstrike, Inc.",TRISKELE LABS GLOBAL PTY LTD,TRISKELE LABS GLOBAL PTY LTD,The Citadel Group Limited (T/as Citadel Group Limited),17/02/2023,Others,,
320563-01,AU,67.4296,6.7431,0.100002076,"Crowdstrike, Inc.",Wigtown Bear Pty Ltd T/A Subnet,Wigtown Bear Pty Ltd T/A Subnet,Wigtown Bear Pty Ltd T/A Subnet,17/02/2023,Others,,
320641-01,AU,11550.4,1010.66,0.0875,SolarWinds Europe,DATA#3 LIMITED,DATA#3 LIMITED,HUNTER VALLEY OPERATIONS PTY LTD,20/02/2023,Target,,
320640-01,AU,15094.26,2838.6182,0.188059448,Imperva,DATA#3 LIMITED,DATA#3 LIMITED,Campbelltown City Council,20/02/2023,Target,,
320614-01,AU,15507.86,1550.79,0.100000258,Micro Focus,DATA#3 LIMITED,DATA#3 LIMITED,The University of Queensland,20/02/2023,Target,Micro Focus Tricentis Q1 22,
319741-03,AU,7509.2081,1621.479,0.21593209,"Crowdstrike, Inc.",DEEPTECH PTY LTD,DEEPTECH PTY LTD,DEEPTECH PTY LTD,20/02/2023,Target,,
